Date,Product,City,Quantity,Price per Unit ($),Total Price ($),Payment Method,Discount ($),Final Price ($)
2023-05-10,Monitor,New York,19,205.05,3895.95,Credit Card,169.71,3726.24
2023-03-28,Tablet,Phoenix,5,358.04,1790.2,Credit Card,226.08,1564.12
2023-02-15,Mouse,Phoenix,17,1129.63,19203.71,Online Payment,4003.06,15200.65
2023-03-16,Smartphone,Houston,3,998.44,2995.32,Online Payment,229.07,2766.25
2023-12-15,Keyboard,Chicago,1,281.99,281.99,Credit Card,26.27,255.72
2023-01-05,Monitor,Houston,16,575.87,9213.92,Cash,1349.19,7864.73
2023-11-09,Smartphone,Phoenix,15,1795.95,26939.25,Debit Card,4375.03,22564.22
2023-09-30,Smartphone,New York,7,270.78,1895.46,Credit Card,100.7,1794.76
2023-03-14,Laptop,New York,17,1181.69,20088.73,Cash,3363.79,16724.94
2023-02-04,Monitor,Phoenix,14,459.48,6432.72,Cash,1341.92,5090.8
2023-02-02,Monitor,Houston,1,1444.87,1444.87,Online Payment,75.57,1369.3
2023-08-20,Smartphone,Chicago,20,895.75,17915.0,Bank Transfer,4735.91,13179.09
2023-02-10,Keyboard,Phoenix,8,1101.55,8812.4,Credit Card,2628.22,6184.18
2023-03-15,Monitor,Phoenix,18,1962.76,35329.68,Cash,6622.32,28707.36
2023-07-14,Tablet,Chicago,4,1715.79,6863.16,Online Payment,167.85,6695.31
2023-01-14,Smartphone,Chicago,13,789.09,10258.17,Debit Card,476.28,9781.89
2023-04-04,Smartphone,Phoenix,18,784.56,14122.08,Online Payment,3119.58,11002.5
2023-12-15,Headphones,Phoenix,10,529.35,5293.5,Cash,1343.44,3950.06
2023-08-01,Mouse,Houston,2,1958.89,3917.78,Debit Card,955.29,2962.49
2023-01-20,Tablet,Los Angeles,20,1820.22,36404.4,Credit Card,9737.88,26666.52
2023-02-22,Mouse,Chicago,20,838.53,16770.6,Bank Transfer,4575.2,12195.4
2023-10-05,Keyboard,Phoenix,14,1142.89,16000.46,Debit Card,676.18,15324.28
2023-11-20,Headphones,Phoenix,10,939.8,9398.0,Debit Card,1162.77,8235.23
2023-02-11,Smartphone,Houston,3,737.11,2211.33,Online Payment,289.96,1921.37
2023-12-03,Keyboard,Chicago,2,1741.13,3482.26,Credit Card,603.21,2879.05
2023-12-16,Tablet,New York,1,755.37,755.37,Bank Transfer,149.21,606.16
2023-07-10,Tablet,Chicago,9,36.3,326.7,Cash,11.99,314.71
2023-12-31,Mouse,Phoenix,14,1429.44,20012.16,Bank Transfer,109.21,19902.95
2023-08-18,Headphones,Phoenix,17,946.82,16095.94,Debit Card,4524.67,11571.27
2023-08-09,Headphones,New York,10,866.48,8664.8,Debit Card,966.68,7698.12
2023-11-07,Headphones,Los Angeles,8,1613.33,12906.64,Cash,3493.77,9412.87
2023-05-17,Laptop,Phoenix,4,335.59,1342.36,Bank Transfer,92.73,1249.63
2023-03-21,Mouse,Chicago,13,235.36,3059.68,Debit Card,31.84,3027.84
2023-03-27,Monitor,Houston,9,1511.34,13602.06,Credit Card,3063.25,10538.81
2023-08-01,Smartphone,New York,19,220.98,4198.62,Debit Card,397.6,3801.02
2023-05-06,Laptop,Los Angeles,1,1870.33,1870.33,Online Payment,317.97,1552.36
2023-12-13,Tablet,Los Angeles,16,381.69,6107.04,Credit Card,1447.97,4659.07
2023-09-12,Mouse,New York,1,1069.81,1069.81,Credit Card,12.17,1057.64
2023-10-29,Laptop,Chicago,19,1025.98,19493.62,Credit Card,1559.02,17934.6
2023-05-16,Mouse,Phoenix,6,1617.67,9706.02,Credit Card,894.22,8811.8
2023-12-04,Mouse,Los Angeles,15,1893.59,28403.85,Online Payment,5107.43,23296.42
2023-04-13,Mouse,Los Angeles,13,601.2,7815.6,Credit Card,388.4,7427.2
2023-01-24,Tablet,Phoenix,9,1110.46,9994.14,Bank Transfer,686.96,9307.18
2023-11-25,Monitor,Phoenix,14,283.36,3967.04,Debit Card,777.38,3189.66
2023-09-28,Headphones,Los Angeles,19,1380.05,26220.95,Bank Transfer,4613.81,21607.14
2023-03-09,Headphones,Los Angeles,2,1687.18,3374.36,Credit Card,399.88,2974.48
2023-10-12,Laptop,Los Angeles,11,1787.55,19663.05,Bank Transfer,2238.45,17424.6
2023-01-31,Tablet,Chicago,18,607.39,10933.02,Cash,30.55,10902.47
2023-01-04,Monitor,Phoenix,4,1265.09,5060.36,Debit Card,1459.24,3601.12
2023-01-01,Headphones,Los Angeles,3,1024.47,3073.41,Cash,628.78,2444.63
2023-04-12,Headphones,New York,10,852.36,8523.6,Debit Card,2394.45,6129.15
2023-12-01,Laptop,Chicago,17,1218.36,20712.12,Debit Card,5735.6,14976.52
2023-02-23,Smartphone,Los Angeles,13,909.46,11822.98,Online Payment,937.42,10885.56
2023-02-01,Mouse,Los Angeles,6,1114.93,6689.58,Credit Card,1306.63,5382.95
2023-01-14,Monitor,Los Angeles,18,637.72,11478.96,Debit Card,1088.71,10390.25
2023-05-24,Smartphone,Houston,5,269.65,1348.25,Online Payment,244.15,1104.1
2023-09-15,Smartphone,Houston,8,976.57,7812.56,Bank Transfer,1065.54,6747.02
2023-06-06,Tablet,Los Angeles,7,638.42,4468.94,Cash,1287.37,3181.57
2023-04-28,Monitor,New York,15,1996.34,29945.1,Cash,3674.2,26270.9
2023-07-18,Monitor,Los Angeles,14,1849.07,25886.98,Credit Card,4178.53,21708.45
2023-10-15,Tablet,New York,14,914.38,12801.32,Bank Transfer,3707.21,9094.11
2023-11-29,Tablet,New York,3,419.62,1258.86,Bank Transfer,220.35,1038.51
2023-05-10,Mouse,Chicago,16,1459.75,23356.0,Debit Card,6923.25,16432.75
2023-12-10,Smartphone,Los Angeles,12,609.09,7309.08,Cash,1459.97,5849.11
2023-02-15,Monitor,New York,5,783.2,3916.0,Debit Card,1171.73,2744.27
2023-07-07,Monitor,Houston,8,427.53,3420.24,Bank Transfer,57.8,3362.44
2023-04-25,Laptop,Los Angeles,1,64.09,64.09,Bank Transfer,10.36,53.73
2023-07-01,Keyboard,Chicago,2,1024.74,2049.48,Debit Card,264.63,1784.85
2023-01-03,Monitor,Chicago,10,1283.84,12838.4,Cash,1026.0,11812.4
2023-10-08,Laptop,Phoenix,8,1548.56,12388.48,Cash,1436.19,10952.29
2023-04-14,Laptop,Phoenix,3,34.17,102.51,Credit Card,1.22,101.29
2023-01-19,Laptop,Chicago,6,1757.4,10544.4,Cash,2510.82,8033.58
2023-09-03,Laptop,Chicago,17,1233.66,20972.22,Credit Card,3837.96,17134.26
2023-03-14,Smartphone,Phoenix,18,1453.45,26162.1,Online Payment,7342.62,18819.48
2023-12-13,Keyboard,New York,4,1066.85,4267.4,Credit Card,51.07,4216.33
2023-06-18,Laptop,Los Angeles,10,1778.14,17781.4,Credit Card,4413.03,13368.37
2023-01-06,Headphones,Houston,19,251.5,4778.5,Cash,32.71,4745.79
2023-05-14,Laptop,Houston,2,1256.18,2512.36,Debit Card,208.46,2303.9
2023-01-14,Mouse,Los Angeles,12,824.1,9889.2,Bank Transfer,2042.0,7847.2
2023-08-25,Smartphone,Chicago,10,1863.21,18632.1,Cash,3697.15,14934.95
2023-08-07,Smartphone,Phoenix,14,1541.41,21579.74,Cash,2475.53,19104.21
2023-01-13,Mouse,Houston,7,189.41,1325.87,Credit Card,103.66,1222.21
2023-07-02,Mouse,New York,2,224.17,448.34,Bank Transfer,126.68,321.66
2023-02-26,Monitor,New York,20,258.18,5163.6,Cash,1008.42,4155.18
2023-07-01,Smartphone,New York,7,1089.1,7623.7,Online Payment,412.37,7211.33
2023-04-24,Monitor,Houston,5,827.4,4137.0,Cash,629.16,3507.84
2023-02-10,Monitor,New York,10,1791.05,17910.5,Cash,1967.68,15942.82
2023-09-06,Mouse,Chicago,18,425.5,7659.0,Cash,1337.98,6321.02
2023-12-29,Tablet,Los Angeles,15,1384.99,20774.85,Bank Transfer,2375.27,18399.58
2023-02-13,Keyboard,Chicago,17,1523.5,25899.5,Credit Card,2027.2,23872.3
2023-01-05,Laptop,Phoenix,7,956.32,6694.24,Bank Transfer,1877.85,4816.39
2023-02-18,Keyboard,Los Angeles,20,1570.8,31416.0,Credit Card,9213.09,22202.91
2023-08-21,Smartphone,New York,14,381.22,5337.08,Debit Card,1383.72,3953.36
2023-08-30,Monitor,Los Angeles,6,1391.24,8347.44,Bank Transfer,2085.83,6261.61
2023-10-24,Smartphone,Houston,16,965.42,15446.72,Debit Card,1101.35,14345.37
2023-11-22,Laptop,Chicago,6,1350.47,8102.82,Bank Transfer,297.25,7805.57
2023-04-02,Keyboard,Houston,8,1380.05,11040.4,Credit Card,2287.82,8752.58
2023-06-29,Smartphone,Houston,16,181.19,2899.04,Credit Card,159.23,2739.81
2023-04-04,Keyboard,Los Angeles,14,1034.98,14489.72,Debit Card,513.73,13975.99
2023-10-18,Mouse,New York,9,1661.19,14950.71,Bank Transfer,277.99,14672.72
2023-08-12,Smartphone,New York,4,929.14,3716.56,Debit Card,1092.42,2624.14
2023-06-15,Keyboard,Los Angeles,18,1804.53,32481.54,Bank Transfer,3681.18,28800.36
2023-08-30,Keyboard,Phoenix,2,1541.33,3082.66,Cash,841.33,2241.33
2023-09-15,Keyboard,Chicago,3,128.67,386.01,Cash,63.33,322.68
2023-03-07,Keyboard,Chicago,6,761.47,4568.82,Online Payment,620.84,3947.98
2023-03-09,Tablet,Houston,10,1902.12,19021.2,Online Payment,3250.29,15770.91
2023-05-06,Smartphone,New York,4,743.03,2972.12,Online Payment,21.2,2950.92
2023-04-06,Smartphone,Phoenix,20,1569.57,31391.4,Debit Card,546.36,30845.04
2023-03-15,Keyboard,Los Angeles,6,469.4,2816.4,Bank Transfer,571.94,2244.46
2023-12-09,Headphones,Phoenix,11,560.5,6165.5,Bank Transfer,669.14,5496.36
2023-05-25,Headphones,Houston,20,171.5,3430.0,Credit Card,63.86,3366.14
2023-01-24,Laptop,Los Angeles,12,822.56,9870.72,Cash,2283.85,7586.87
2023-12-06,Keyboard,Los Angeles,1,1638.35,1638.35,Bank Transfer,298.36,1339.99
2023-01-26,Mouse,Los Angeles,15,369.44,5541.6,Credit Card,1186.65,4354.95
2023-03-17,Headphones,Houston,3,365.36,1096.08,Cash,151.75,944.33
2023-01-09,Mouse,Los Angeles,16,1546.56,24744.96,Debit Card,6663.42,18081.54
2023-11-23,Keyboard,New York,6,363.96,2183.76,Debit Card,591.89,1591.87
2023-11-22,Headphones,Los Angeles,8,107.81,862.48,Debit Card,38.45,824.03
2023-03-21,Mouse,Phoenix,12,698.4,8380.8,Online Payment,614.89,7765.91
2023-07-08,Tablet,Phoenix,19,240.58,4571.02,Cash,478.81,4092.21
2023-08-25,Laptop,New York,13,425.58,5532.54,Bank Transfer,1552.49,3980.05
2023-12-01,Monitor,New York,18,657.75,11839.5,Online Payment,2683.45,9156.05
2023-06-15,Headphones,Houston,15,1372.52,20587.8,Debit Card,5883.65,14704.15
2023-09-22,Keyboard,Houston,4,863.64,3454.56,Online Payment,456.68,2997.88
2023-03-31,Headphones,Phoenix,17,804.15,13670.55,Debit Card,574.34,13096.21
2023-08-12,Mouse,Phoenix,11,1615.37,17769.07,Cash,3407.73,14361.34
2023-10-31,Smartphone,Phoenix,14,1681.28,23537.92,Cash,5300.25,18237.67
2023-10-10,Headphones,Houston,18,1489.77,26815.86,Credit Card,4326.68,22489.18
2023-05-30,Tablet,Phoenix,14,814.09,11397.26,Credit Card,383.73,11013.53
2023-02-26,Tablet,Chicago,4,1104.43,4417.72,Online Payment,773.79,3643.93
2023-02-02,Smartphone,New York,6,637.91,3827.46,Bank Transfer,1043.93,2783.53
2023-03-02,Smartphone,Los Angeles,10,1461.84,14618.4,Cash,3550.64,11067.76
2023-05-19,Headphones,Chicago,8,908.94,7271.52,Cash,159.9,7111.62
2023-03-20,Keyboard,Chicago,1,1989.45,1989.45,Debit Card,237.26,1752.19
2023-10-24,Monitor,Chicago,5,1761.69,8808.45,Online Payment,2268.43,6540.02
2023-07-12,Mouse,Los Angeles,7,1983.16,13882.12,Debit Card,2722.81,11159.31
2023-10-23,Keyboard,New York,3,327.21,981.63,Online Payment,78.05,903.58
2023-07-19,Laptop,Chicago,18,670.77,12073.86,Cash,1654.37,10419.49
2023-11-06,Tablet,Houston,14,1219.13,17067.82,Debit Card,2374.42,14693.4
2023-05-20,Laptop,Houston,4,1827.98,7311.92,Bank Transfer,366.72,6945.2
2023-05-16,Keyboard,Los Angeles,17,1026.92,17457.64,Debit Card,2453.82,15003.82
2023-03-12,Smartphone,Los Angeles,19,1677.0,31863.0,Credit Card,8158.22,23704.78
2023-03-19,Smartphone,Houston,4,1982.19,7928.76,Bank Transfer,1321.23,6607.53
2023-11-07,Smartphone,Los Angeles,1,1605.68,1605.68,Credit Card,260.31,1345.37
2023-12-30,Headphones,Chicago,6,1091.72,6550.32,Online Payment,1586.54,4963.78
2023-02-10,Tablet,Houston,2,789.86,1579.72,Cash,4.89,1574.83
2023-11-14,Headphones,Houston,3,880.02,2640.06,Bank Transfer,133.0,2507.06
2023-12-14,Monitor,New York,2,531.0,1062.0,Online Payment,241.01,820.99
2023-10-11,Laptop,Chicago,3,1819.44,5458.32,Cash,1513.37,3944.95
2023-03-07,Laptop,Chicago,2,1307.43,2614.86,Debit Card,451.95,2162.91
2023-08-16,Headphones,Houston,9,820.81,7387.29,Bank Transfer,731.56,6655.73
2023-02-22,Monitor,New York,6,1320.86,7925.16,Debit Card,1162.47,6762.69
2023-07-04,Smartphone,Houston,18,1668.65,30035.7,Online Payment,8477.71,21557.99
2023-08-16,Headphones,Phoenix,9,1546.9,13922.1,Bank Transfer,3465.67,10456.43
2023-11-08,Keyboard,Phoenix,6,529.59,3177.54,Credit Card,87.89,3089.65
2023-05-24,Mouse,Los Angeles,14,243.47,3408.58,Credit Card,469.36,2939.22
2023-03-21,Smartphone,Houston,18,920.12,16562.16,Bank Transfer,2533.59,14028.57
2023-05-26,Laptop,New York,12,119.93,1439.16,Debit Card,362.4,1076.76
2023-07-11,Laptop,New York,17,1469.53,24982.01,Online Payment,418.63,24563.38
2023-08-17,Headphones,New York,7,829.7,5807.9,Bank Transfer,1089.8,4718.1
2023-03-18,Keyboard,Phoenix,20,1421.97,28439.4,Bank Transfer,7710.44,20728.96
2023-06-11,Mouse,Los Angeles,18,1174.17,21135.06,Online Payment,858.52,20276.54
2023-01-01,Keyboard,Los Angeles,11,1105.8,12163.8,Bank Transfer,2279.69,9884.11
2023-07-21,Tablet,Houston,15,1341.42,20121.3,Online Payment,3616.86,16504.44
2023-03-13,Smartphone,Houston,6,1316.29,7897.74,Debit Card,553.38,7344.36
2023-10-26,Laptop,Chicago,2,833.22,1666.44,Cash,202.78,1463.66
2023-03-05,Monitor,Chicago,7,466.99,3268.93,Online Payment,766.23,2502.7
2023-12-03,Headphones,Phoenix,9,1105.31,9947.79,Bank Transfer,1528.27,8419.52
2023-04-27,Mouse,New York,18,1531.05,27558.9,Bank Transfer,2957.45,24601.45
2023-01-08,Mouse,Chicago,15,185.67,2785.05,Debit Card,25.51,2759.54
2023-09-01,Mouse,New York,19,92.49,1757.31,Online Payment,350.45,1406.86
2023-05-01,Headphones,Houston,12,757.0,9084.0,Credit Card,1098.08,7985.92
2023-06-21,Monitor,New York,17,49.56,842.52,Debit Card,93.52,749.0
2023-08-31,Monitor,Chicago,1,1365.88,1365.88,Debit Card,289.75,1076.13
2023-09-09,Keyboard,Chicago,3,1831.74,5495.22,Cash,100.01,5395.21
2023-10-09,Headphones,Phoenix,19,1656.05,31464.95,Credit Card,3080.17,28384.78
2023-11-29,Tablet,Chicago,4,841.49,3365.96,Cash,278.94,3087.02
2023-12-15,Tablet,Phoenix,14,1873.37,26227.18,Bank Transfer,3556.56,22670.62
2023-07-15,Monitor,Houston,18,1369.09,24643.62,Online Payment,1915.04,22728.58
2023-08-08,Monitor,Los Angeles,19,1858.79,35317.01,Debit Card,9750.53,25566.48
2023-08-06,Smartphone,New York,16,887.46,14199.36,Online Payment,269.03,13930.33
2023-12-01,Tablet,Chicago,3,1471.69,4415.07,Debit Card,1105.71,3309.36
2023-09-15,Smartphone,Phoenix,19,1923.92,36554.48,Online Payment,2670.67,33883.81
2023-10-11,Smartphone,Los Angeles,10,683.83,6838.3,Credit Card,1249.47,5588.83
2023-04-11,Smartphone,Los Angeles,15,1580.39,23705.85,Online Payment,5005.2,18700.65
2023-02-22,Laptop,Phoenix,10,1197.49,11974.9,Bank Transfer,1552.75,10422.15
2023-09-26,Laptop,New York,18,1874.9,33748.2,Debit Card,5186.76,28561.44
2023-02-01,Laptop,Houston,1,628.65,628.65,Online Payment,103.34,525.31
2023-02-24,Mouse,New York,8,1312.81,10502.48,Online Payment,2057.0,8445.48
2023-03-17,Headphones,Phoenix,2,96.81,193.62,Debit Card,5.54,188.08
2023-05-10,Headphones,Houston,12,650.59,7807.08,Credit Card,1682.51,6124.57
2023-02-22,Laptop,Chicago,8,737.92,5903.36,Credit Card,1179.65,4723.71
2023-10-07,Headphones,Los Angeles,3,1493.28,4479.84,Bank Transfer,572.32,3907.52
2023-08-23,Smartphone,New York,17,898.4,15272.8,Bank Transfer,482.98,14789.82
2023-06-25,Monitor,Phoenix,16,158.29,2532.64,Cash,414.12,2118.52
2023-11-28,Smartphone,Chicago,7,846.58,5926.06,Credit Card,1018.77,4907.29
2023-12-27,Mouse,Houston,16,850.68,13610.88,Bank Transfer,1188.27,12422.61
2023-06-24,Smartphone,Phoenix,13,1596.0,20748.0,Bank Transfer,1667.73,19080.27
2023-09-13,Keyboard,Los Angeles,20,1691.31,33826.2,Online Payment,7737.97,26088.23
2023-07-18,Monitor,Los Angeles,3,353.82,1061.46,Debit Card,291.71,769.75
2023-07-22,Keyboard,Chicago,20,1696.2,33924.0,Debit Card,7117.96,26806.04
2023-01-17,Tablet,Houston,11,598.77,6586.47,Cash,1224.7,5361.77
2023-08-16,Laptop,New York,9,1034.69,9312.21,Credit Card,1936.25,7375.96
2023-04-07,Mouse,Houston,17,764.08,12989.36,Online Payment,1374.4,11614.96
2023-09-27,Tablet,Los Angeles,16,1090.09,17441.44,Debit Card,1150.44,16291.0
2023-03-17,Headphones,Houston,1,1750.19,1750.19,Credit Card,111.5,1638.69
2023-11-28,Mouse,New York,17,850.83,14464.11,Bank Transfer,2883.87,11580.24
2023-05-26,Keyboard,Phoenix,15,1506.4,22596.0,Bank Transfer,2291.16,20304.84
2023-11-14,Smartphone,Phoenix,1,555.44,555.44,Debit Card,1.37,554.07
2023-07-23,Laptop,Los Angeles,4,1156.31,4625.24,Debit Card,94.88,4530.36
2023-02-27,Laptop,Chicago,5,884.36,4421.8,Bank Transfer,690.83,3730.97
2023-08-24,Tablet,Los Angeles,11,1345.02,14795.22,Debit Card,2817.75,11977.47
2023-02-07,Mouse,Los Angeles,7,379.53,2656.71,Credit Card,167.28,2489.43
2023-09-08,Headphones,Houston,16,125.46,2007.36,Online Payment,203.41,1803.95
2023-03-08,Laptop,New York,5,633.31,3166.55,Cash,13.93,3152.62
2023-10-30,Smartphone,Chicago,3,138.09,414.27,Online Payment,1.82,412.45
2023-12-06,Keyboard,Los Angeles,1,254.46,254.46,Cash,41.93,212.53
2023-11-12,Keyboard,New York,5,1383.54,6917.7,Bank Transfer,430.63,6487.07
2023-08-08,Tablet,Los Angeles,5,190.5,952.5,Cash,237.01,715.49
2023-03-18,Smartphone,Chicago,12,564.08,6768.96,Bank Transfer,1904.5,4864.46
2023-09-03,Keyboard,Chicago,12,1397.03,16764.36,Debit Card,1065.9,15698.46
2023-12-28,Monitor,New York,4,111.12,444.48,Debit Card,24.75,419.73
2024-01-01,Monitor,New York,19,1620.23,30784.37,Online Payment,6222.86,24561.51
2023-05-21,Headphones,Chicago,16,890.67,14250.72,Cash,3284.88,10965.84
2023-02-07,Laptop,New York,17,1089.66,18524.22,Credit Card,996.35,17527.87
2023-03-05,Monitor,New York,6,1046.5,6279.0,Credit Card,220.71,6058.29
2023-02-05,Headphones,Los Angeles,13,1832.09,23817.17,Bank Transfer,5301.77,18515.4
2023-11-15,Laptop,Houston,6,644.44,3866.64,Debit Card,424.48,3442.16
2023-12-31,Tablet,Houston,4,1612.22,6448.88,Online Payment,1129.23,5319.65
2023-08-20,Tablet,Chicago,20,265.86,5317.2,Cash,1553.32,3763.88
2023-11-02,Laptop,Los Angeles,10,1898.45,18984.5,Cash,2868.41,16116.09
2023-10-06,Monitor,Houston,13,999.88,12998.44,Bank Transfer,2493.29,10505.15
2023-02-01,Mouse,Chicago,11,1465.88,16124.68,Debit Card,1471.99,14652.69
2023-07-11,Tablet,New York,20,286.17,5723.4,Cash,787.3,4936.1
2023-07-23,Laptop,Los Angeles,10,1769.8,17698.0,Cash,4044.44,13653.56
2023-09-14,Tablet,Houston,19,1522.9,28935.1,Online Payment,671.67,28263.43
2023-04-12,Monitor,New York,15,1653.38,24800.7,Credit Card,4978.86,19821.84
2023-02-28,Laptop,Houston,18,466.84,8403.12,Debit Card,79.16,8323.96
2023-07-12,Laptop,Phoenix,4,1955.5,7822.0,Online Payment,504.15,7317.85
2023-09-06,Headphones,Chicago,13,1360.69,17688.97,Online Payment,3114.16,14574.81
2023-03-28,Smartphone,Houston,15,1606.14,24092.1,Credit Card,4603.81,19488.29
2023-03-02,Headphones,Los Angeles,12,1508.78,18105.36,Credit Card,394.14,17711.22
2023-12-12,Tablet,New York,9,1929.1,17361.9,Online Payment,899.61,16462.29
2023-05-21,Smartphone,Los Angeles,11,335.49,3690.39,Credit Card,401.08,3289.31
2023-07-12,Mouse,Houston,16,1558.22,24931.52,Credit Card,5004.01,19927.51
2023-02-17,Monitor,Los Angeles,7,1567.94,10975.58,Debit Card,882.29,10093.29
2023-11-15,Smartphone,New York,3,352.62,1057.86,Bank Transfer,198.08,859.78
2023-05-03,Smartphone,Phoenix,13,477.35,6205.55,Cash,1407.86,4797.69
2023-10-22,Tablet,Chicago,7,1681.19,11768.33,Bank Transfer,1377.77,10390.56
2023-03-29,Tablet,Phoenix,18,1539.26,27706.68,Cash,7087.69,20618.99
2023-02-21,Tablet,Phoenix,12,1473.76,17685.12,Bank Transfer,4242.01,13443.11
2023-10-11,Smartphone,Chicago,16,743.91,11902.56,Credit Card,2632.6,9269.96
2023-12-14,Headphones,Phoenix,6,1282.95,7697.7,Online Payment,342.14,7355.56
2023-06-27,Tablet,New York,5,942.52,4712.6,Cash,985.28,3727.32
2023-11-08,Monitor,Chicago,1,1865.01,1865.01,Bank Transfer,391.49,1473.52
2023-03-30,Headphones,Chicago,13,1575.24,20478.12,Cash,4436.43,16041.69
2023-05-05,Headphones,New York,2,1420.12,2840.24,Online Payment,777.92,2062.32
2023-01-12,Headphones,Los Angeles,14,821.47,11500.58,Debit Card,2943.85,8556.73
2023-04-05,Laptop,Chicago,16,508.13,8130.08,Cash,849.87,7280.21
2023-09-20,Smartphone,Chicago,13,143.72,1868.36,Cash,32.89,1835.47
2023-08-16,Headphones,Chicago,9,887.5,7987.5,Online Payment,1731.48,6256.02
2023-03-01,Smartphone,Phoenix,8,886.73,7093.84,Bank Transfer,1561.99,5531.85
2023-07-11,Mouse,New York,2,1898.16,3796.32,Credit Card,1030.13,2766.19
2023-09-30,Mouse,Los Angeles,5,1551.27,7756.35,Online Payment,1388.93,6367.42
2023-05-26,Mouse,Phoenix,12,1173.98,14087.76,Bank Transfer,1581.39,12506.37
2023-02-04,Keyboard,Chicago,18,1183.21,21297.78,Credit Card,581.88,20715.9
2023-04-02,Laptop,Houston,19,1268.69,24105.11,Credit Card,1094.73,23010.38
2023-06-30,Tablet,Chicago,5,548.16,2740.8,Bank Transfer,702.75,2038.05
2023-01-25,Tablet,Chicago,2,1495.97,2991.94,Online Payment,681.2,2310.74
2023-05-02,Tablet,Houston,2,905.42,1810.84,Online Payment,300.1,1510.74
2023-02-14,Tablet,Houston,17,1651.87,28081.79,Credit Card,2545.91,25535.88
2023-08-17,Keyboard,Houston,13,898.53,11680.89,Credit Card,3379.96,8300.93
2023-04-05,Headphones,Chicago,16,1876.81,30028.96,Cash,8051.68,21977.28
2023-12-19,Monitor,Houston,1,533.81,533.81,Credit Card,121.6,412.21
2023-09-23,Smartphone,Houston,16,254.23,4067.68,Debit Card,927.09,3140.59
2023-09-14,Smartphone,New York,2,873.16,1746.32,Credit Card,431.37,1314.95
2023-10-14,Tablet,Phoenix,4,812.34,3249.36,Cash,371.55,2877.81
2023-06-29,Smartphone,Los Angeles,8,980.16,7841.28,Debit Card,2022.65,5818.63
2023-07-01,Mouse,Phoenix,3,350.53,1051.59,Debit Card,258.23,793.36
2023-04-17,Smartphone,Houston,10,1875.96,18759.6,Online Payment,4366.67,14392.93
2023-12-04,Laptop,Los Angeles,3,1786.77,5360.31,Credit Card,944.37,4415.94
2023-08-09,Keyboard,Phoenix,3,1239.89,3719.67,Credit Card,118.26,3601.41
2023-07-06,Headphones,Houston,19,1446.41,27481.79,Debit Card,1251.41,26230.38
2023-06-30,Mouse,New York,19,1628.92,30949.48,Online Payment,6893.87,24055.61
2023-03-15,Keyboard,Houston,14,113.58,1590.12,Credit Card,49.04,1541.08
2023-07-04,Mouse,Los Angeles,14,1803.47,25248.58,Debit Card,4386.68,20861.9
2023-04-25,Headphones,New York,20,675.8,13516.0,Cash,374.39,13141.61
2023-10-14,Mouse,Los Angeles,18,1625.24,29254.32,Online Payment,6977.8,22276.52
2023-09-05,Smartphone,Los Angeles,9,998.32,8984.88,Cash,341.57,8643.31
2023-10-04,Mouse,Houston,6,134.48,806.88,Cash,35.88,771.0
2023-01-08,Monitor,Houston,10,1344.28,13442.8,Credit Card,2703.21,10739.59
2023-10-13,Keyboard,Los Angeles,9,447.46,4027.14,Bank Transfer,1179.38,2847.76
2023-06-22,Keyboard,Los Angeles,2,1878.45,3756.9,Online Payment,208.24,3548.66
2023-06-28,Smartphone,Phoenix,11,1703.57,18739.27,Online Payment,3666.04,15073.23
2023-10-25,Mouse,Los Angeles,12,758.12,9097.44,Online Payment,330.64,8766.8
2023-12-28,Monitor,New York,20,705.5,14110.0,Online Payment,2670.21,11439.79
2023-11-12,Mouse,New York,11,359.36,3952.96,Bank Transfer,669.11,3283.85
2023-06-26,Headphones,Los Angeles,10,1084.18,10841.8,Cash,2572.94,8268.86
2023-02-27,Keyboard,Los Angeles,20,1519.97,30399.4,Credit Card,3056.44,27342.96
2023-07-16,Mouse,New York,3,1759.23,5277.69,Online Payment,225.6,5052.09
2023-11-23,Headphones,Los Angeles,2,304.07,608.14,Online Payment,104.81,503.33
2023-10-03,Tablet,New York,17,1274.82,21671.94,Online Payment,1096.83,20575.11
2023-03-05,Laptop,New York,15,1122.34,16835.1,Credit Card,1584.22,15250.88
2023-05-10,Laptop,Los Angeles,1,1902.42,1902.42,Bank Transfer,316.74,1585.68
2023-08-08,Headphones,Phoenix,1,881.92,881.92,Credit Card,223.79,658.13
2023-09-20,Mouse,New York,9,638.39,5745.51,Online Payment,1302.26,4443.25
2023-03-03,Keyboard,Los Angeles,8,1593.71,12749.68,Cash,420.7,12328.98
2023-02-16,Headphones,Chicago,6,1530.06,9180.36,Credit Card,866.14,8314.22
2023-11-08,Tablet,Phoenix,2,1049.33,2098.66,Debit Card,616.97,1481.69
2023-12-04,Headphones,Houston,11,529.84,5828.24,Cash,610.57,5217.67
2023-12-22,Smartphone,Houston,10,236.68,2366.8,Online Payment,254.03,2112.77
2023-01-08,Tablet,Chicago,17,1579.13,26845.21,Debit Card,6580.58,20264.63
2023-09-20,Mouse,Los Angeles,7,846.35,5924.45,Debit Card,1757.72,4166.73
2023-01-10,Laptop,Chicago,9,1730.73,15576.57,Cash,1883.19,13693.38
2023-07-22,Laptop,New York,7,186.89,1308.23,Online Payment,300.59,1007.64
